epoch	train_loss	val_nll_mem	val_nll_zeromem	delta_mem
1	1.917862	1.225117	1.922696	0.697578
2	1.256005	1.135907	1.748649	0.612743
3	1.176810	1.103049	1.750913	0.647865
4	1.120676	1.059036	1.928072	0.869036
5	1.092246	1.046202	1.976582	0.930380
6	1.085357	1.055738	1.957931	0.902194
7	1.085393	1.169922	1.922531	0.752609
8	1.092220	1.038450	1.861439	0.822988
9	1.061776	1.046654	2.028664	0.982010
10	1.054090	1.033488	1.972863	0.939376
11	1.047822	1.048928	1.977960	0.929031
12	1.047843	1.063955	1.982844	0.918890
13	1.039664	1.115419	2.059366	0.943946
14	1.067516	1.021050	2.002583	0.981533
15	1.038693	1.019353	2.045563	1.026209
16	1.038668	1.059938	2.036033	0.976096
17	1.072966	1.021321	1.927401	0.906080
18	1.048248	1.111395	1.970812	0.859417
19	1.050420	1.038710	2.000651	0.961941
20	1.026066	1.038672	2.064855	1.026183
21	1.049213	1.030001	2.031598	1.001597
22	1.042037	1.020486	2.069255	1.048769
23	1.041316	1.015578	2.028997	1.013420
24	1.042592	1.036404	2.007581	0.971177
25	1.035268	1.045515	2.024264	0.978749
26	1.026632	1.023185	2.029019	1.005834
27	1.028905	1.015474	1.977397	0.961923
28	1.045827	1.028058	2.033456	1.005399
29	1.036418	1.019980	1.948807	0.928828
30	1.022802	1.021737	2.031860	1.010124
