epoch	train_loss	val_nll_mem	val_nll_zeromem	delta_mem
1	1.744473	1.228846	1.898577	0.669731
2	1.192225	1.112613	1.910000	0.797386
3	1.125075	1.080849	1.980537	0.899688
4	1.106411	1.073025	1.979025	0.906000
5	1.099519	1.086392	1.949062	0.862671
6	1.073278	1.052132	1.946126	0.893994
7	1.078953	1.052506	1.948298	0.895792
8	1.083606	1.068261	1.878440	0.810179
9	1.059028	1.030270	1.922241	0.891971
10	1.071509	2.226086	1.924520	-0.301566
11	1.052278	1.138506	1.994084	0.855578
12	1.048060	1.042725	1.987048	0.944324
13	1.042063	1.059365	2.039003	0.979638
14	1.035708	1.046738	2.029494	0.982756
15	1.055194	1.027940	1.956996	0.929056
16	1.031843	1.066192	2.088434	1.022242
17	1.037638	1.025859	2.062951	1.037092
18	1.039537	1.041852	2.008811	0.966959
19	1.029719	1.028223	1.999692	0.971470
20	1.047822	1.040868	2.005490	0.964622
21	1.026360	1.015180	2.062604	1.047424
22	1.030513	1.026425	2.081750	1.055325
23	1.054387	1.040215	1.974739	0.934525
24	1.038571	1.030181	2.021715	0.991534
25	1.042847	1.033004	2.002780	0.969776
26	1.037703	1.033584	2.027079	0.993495
27	1.027191	1.119479	2.018184	0.898705
28	1.044014	1.068410	1.988073	0.919663
29	1.027314	1.037198	2.030610	0.993412
30	1.023681	1.027371	2.060810	1.033439
